Stock,Daily mean,Annualized rate of return,Annualized volatility,Sharpe ratio,Cumulative return,Max drawdown,Win rate,Composite score,Cluster_Index
stock_16_SP100,0.0025120846774193,0.6330453387096768,0.1748120450143198,3.6212913055151352,0.8355217429728847,-0.0652886866445037,0.6169354838709677,0.9733695652173912,4
stock_13_SP100,0.0027289677419354,0.6876998709677417,0.2279163035962624,3.017335136261043,0.9165704624934996,-0.1071763317352992,0.592741935483871,0.9519021739130434,4
stock_44_SP100,0.0024013346774193,0.605136338709678,0.2299763901316642,2.631297666526682,0.7664813442175282,-0.0982461336304569,0.5725806451612904,0.9279891304347824,4
stock_90_SP100,0.0018887943548387,0.4759761774193545,0.1366860161260438,3.4822594944931105,0.582261715174714,-0.0540600836977497,0.592741935483871,0.9277173913043478,4
stock_50_SP100,0.0026966733870967,0.6795616935483871,0.279257715168513,2.433457185375587,0.8787634014550953,-0.085498289067137,0.5604838709677419,0.921195652173913,4
stock_18_SP100,0.0020827741935483,0.5248590967741928,0.195515074588156,2.684494266643048,0.6444154620472049,-0.1125340366557482,0.592741935483871,0.9105978260869564,4
stock_52_SP100,0.0019668306451612,0.4956413225806461,0.1988531837544818,2.492498803502184,0.5964373783345531,-0.101304476568821,0.6169354838709677,0.9,4
stock_27_SP100,0.002004439516129,0.5051187580645169,0.1971498807167712,2.562105319202189,0.611980703126006,-0.1027384981120645,0.5725806451612904,0.8942934782608697,4
stock_82_SP100,0.0019712903225806,0.4967651612903221,0.1725063370849404,2.879692246005547,0.6065366470584332,-0.0819806289695308,0.5403225806451613,0.8932065217391304,4
stock_86_SP100,0.0021710161290322,0.5470960645161291,0.2280292187873301,2.39923667425434,0.6695195901190154,-0.1042235674922272,0.5524193548387096,0.8858695652173912,4
stock_47_SP100,0.0021982298387096,0.5539539193548391,0.2160654027451959,2.563825176620768,0.6851663165680337,-0.1686211916623349,0.5887096774193549,0.8801630434782609,4
stock_67_SP100,0.0022405604838709,0.5646212419354842,0.2448695613450337,2.305804113970311,0.691726638785972,-0.1392122981891401,0.5887096774193549,0.877445652173913,4
stock_25_SP100,0.002480004032258,0.6249610161290314,0.272832528629369,2.290639680204751,0.78285043916658,-0.1368148514668869,0.5443548387096774,0.8630434782608697,4
stock_1_SP100,0.0014134193548387,0.3561816774193539,0.1347900019764669,2.6424933021481807,0.4068831948930658,-0.0986017475605635,0.6048387096774194,0.8597826086956522,4
stock_70_SP100,0.0026488669354838,0.6675144677419361,0.297893757500616,2.2407803149099417,0.8463474798752859,-0.1344577463924254,0.5161290322580645,0.8432065217391304,4
stock_41_SP100,0.0023843548387096,0.6008574193548379,0.3114132692568304,1.929453490497528,0.7219724482305796,-0.1993985612095671,0.5887096774193549,0.821195652173913,4
stock_15_SP100,0.0021595282258064,0.5442011129032259,0.2368166665696116,2.2979848537951595,0.6615665907913277,-0.1694990458771569,0.532258064516129,0.8182065217391303,4
stock_21_SP100,0.0019781209677419,0.4984864838709685,0.2622716296073532,1.90064966087736,0.5782708328844526,-0.1647808431562498,0.592741935483871,0.8149456521739131,4
stock_56_SP100,0.0013637177419354,0.3436568709677424,0.1460074787277179,2.3536936187262776,0.3876356305382458,-0.0971327861079612,0.5483870967741935,0.814945652173913,0
stock_63_SP100,0.0027258104838709,0.6869042419354829,0.3642577114957582,1.885764447140557,0.8444104806505697,-0.1842644090246488,0.5524193548387096,0.8133152173913044,4
stock_74_SP100,0.002338504032258,0.5893030161290331,0.3316843105563036,1.776698497256772,0.692737508653892,-0.1438200757279491,0.5685483870967742,0.8127717391304348,4
stock_62_SP100,0.0015500725806451,0.3906182903225811,0.1950988806536801,2.0021554660580927,0.4409679840032281,-0.1156799956145503,0.5725806451612904,0.8078804347826087,0
stock_35_SP100,0.0013378588709677,0.3371404354838707,0.1590260744589607,2.1200324326113917,0.3760282691525698,-0.087937085442319,0.5604838709677419,0.8051630434782608,0
stock_23_SP100,0.0013383870967741,0.3372735483870963,0.1444051326673589,2.335606374629459,0.3791927614552881,-0.093774077420263,0.5403225806451613,0.8027173913043478,0
stock_99_SP100,0.0021267580645161,0.5359430322580644,0.2603902909254695,2.058229707233843,0.6384886036182778,-0.172762202805079,0.5403225806451613,0.802445652173913,4
stock_85_SP100,0.0014234959677419,0.3587209838709668,0.1698145843821624,2.112427417092023,0.4031685498443484,-0.0934590732781317,0.5403225806451613,0.8008152173913042,0
stock_20_SP100,0.0020645604838709,0.5202692419354834,0.2575801287617829,2.0198345440561623,0.6144494814391839,-0.1700930977303308,0.5362903225806451,0.7956521739130435,4
stock_69_SP100,0.0018539032258064,0.4671836129032256,0.2612802862092389,1.788055347310416,0.5308454296020302,-0.1264694848757264,0.5806451612903226,0.7907608695652173,4
