Stock Similarity Group Detection
========================================
Method: Z-score normalized cosine similarity
High similarity threshold: >= 0.9
Low similarity threshold: <= -0.7

High similarity groups (1541 pairs)
----------------------------------------
stock_39_SP100 <-> stock_54_HSI: 0.986485
stock_27_SP100 <-> stock_86_SP100: 0.986388
stock_38_HSI <-> stock_47_HSI: 0.986334
stock_74_SP100 <-> stock_64_SP100: 0.986308
stock_21_SP100 <-> stock_55_SP100: 0.986302
stock_56_SP100 <-> stock_54_SP100: 0.986174
stock_87_SP100 <-> stock_2_SP100: 0.986136
stock_52_SP100 <-> stock_69_SP100: 0.985948
stock_44_SP100 <-> stock_20_SP100: 0.985940
stock_46_SP100 <-> stock_68_SP100: 0.985874
stock_38_SP100 <-> stock_89_SP100: 0.985836
stock_44_SP100 <-> stock_50_SP100: 0.985824
stock_57_SP100 <-> stock_10_SP100: 0.985775
stock_68_HSI <-> stock_21_HSI: 0.985753
stock_35_SP100 <-> stock_85_SP100: 0.985707
stock_5_HSI <-> stock_92_SP100: 0.985685
stock_27_SP100 <-> stock_57_SP100: 0.985629
stock_6_SP100 <-> stock_80_HSI: 0.985615
stock_44_SP100 <-> stock_47_SP100: 0.985572
stock_69_SP100 <-> stock_17_SP100: 0.985538
stock_3_HSI <-> stock_95_SP100: 0.985441
stock_41_SP100 <-> stock_74_SP100: 0.985385
stock_68_HSI <-> stock_69_HSI: 0.985294
stock_61_SP100 <-> stock_98_SP100: 0.985206
stock_71_HSI <-> stock_21_HSI: 0.985125
stock_86_SP100 <-> stock_15_SP100: 0.985112
stock_64_SP100 <-> stock_48_HSI: 0.985078
stock_63_SP100 <-> stock_48_HSI: 0.985072
stock_75_HSI <-> stock_50_HSI: 0.984915
stock_17_HSI <-> stock_37_HSI: 0.984857
stock_47_HSI <-> stock_66_HSI: 0.984665
stock_27_SP100 <-> stock_47_SP100: 0.984547
stock_52_SP100 <-> stock_21_SP100: 0.984434
stock_17_SP100 <-> stock_55_SP100: 0.984421
stock_29_HSI <-> stock_80_HSI: 0.984319
stock_48_SP100 <-> stock_63_HSI: 0.984113
stock_80_SP100 <-> stock_64_SP100: 0.984011
