Stock Similarity Group Detection
========================================
Method: Z-score normalized cosine similarity
High similarity threshold: >= 0.9
Low similarity threshold: <= -0.7

High similarity groups (1541 pairs)
----------------------------------------
stock_60_HSI <-> stock_16_HSI: 0.927127
stock_83_SP100 <-> stock_68_HSI: 0.927118
stock_47_HSI <-> stock_79_HSI: 0.927078
stock_36_SP100 <-> stock_51_SP100: 0.927033
stock_99_SP100 <-> stock_17_SP100: 0.926926
stock_77_HSI <-> stock_79_HSI: 0.926821
stock_57_SP100 <-> stock_17_HSI: 0.926799
stock_89_SP100 <-> stock_98_SP100: 0.926732
stock_99_SP100 <-> stock_84_SP100: 0.926640
stock_38_SP100 <-> stock_2_SP100: 0.926568
stock_7_HSI <-> stock_13_HSI: 0.926342
stock_91_SP100 <-> stock_70_HSI: 0.926277
stock_52_SP100 <-> stock_41_SP100: 0.926265
stock_32_HSI <-> stock_47_HSI: 0.926222
stock_58_SP100 <-> stock_54_SP100: 0.926158
stock_15_SP100 <-> stock_55_SP100: 0.926127
stock_45_SP100 <-> stock_54_SP100: 0.926062
stock_27_SP100 <-> stock_23_SP100: 0.926022
stock_70_HSI <-> stock_68_HSI: 0.925932
stock_13_SP100 <-> stock_54_HSI: 0.925908
stock_47_SP100 <-> stock_87_SP100: 0.925857
stock_56_HSI <-> stock_26_SP100: 0.925851
stock_75_SP100 <-> stock_29_SP100: 0.925785
stock_62_SP100 <-> stock_61_SP100: 0.925724
stock_6_SP100 <-> stock_21_HSI: 0.925696
stock_87_SP100 <-> stock_5_HSI: 0.925643
stock_42_HSI <-> stock_78_HSI: 0.925532
stock_50_SP100 <-> stock_82_SP100: 0.925486
stock_54_SP100 <-> stock_15_HSI: 0.925474
stock_50_SP100 <-> stock_10_SP100: 0.925453
stock_19_SP100 <-> stock_61_HSI: 0.925309
stock_90_SP100 <-> stock_33_SP100: 0.925137
stock_38_HSI <-> stock_70_HSI: 0.924981
stock_17_HSI <-> stock_33_SP100: 0.924702
stock_85_SP100 <-> stock_79_SP100: 0.924701
stock_86_SP100 <-> stock_41_SP100: 0.924693
stock_3_HSI <-> stock_33_HSI: 0.924604
stock_15_SP100 <-> stock_74_SP100: 0.924565
stock_61_HSI <-> stock_68_HSI: 0.924423
stock_18_HSI <-> stock_26_HSI: 0.924393
stock_56_SP100 <-> stock_57_SP100: 0.924335
stock_67_SP100 <-> stock_87_SP100: 0.924326
stock_67_SP100 <-> stock_64_SP100: 0.924254
stock_25_SP100 <-> stock_84_SP100: 0.924113
stock_44_SP100 <-> stock_87_SP100: 0.924049
stock_86_SP100 <-> stock_64_SP100: 0.924010
stock_47_SP100 <-> stock_72_SP100: 0.923964
stock_13_SP100 <-> stock_39_SP100: 0.923951
stock_99_SP100 <-> stock_96_SP100: 0.923933
stock_90_SP100 <-> stock_69_SP100: 0.923928
stock_35_SP100 <-> stock_4_SP100: 0.923831
stock_86_SP100 <-> stock_85_SP100: 0.923698
stock_31_HSI <-> stock_33_HSI: 0.923681
stock_38_SP100 <-> stock_92_SP100: 0.923642
stock_18_SP100 <-> stock_85_SP100: 0.923557
stock_2_SP100 <-> stock_68_SP100: 0.923532
stock_45_HSI <-> stock_79_HSI: 0.923444
stock_70_SP100 <-> stock_74_SP100: 0.923414
stock_38_SP100 <-> stock_46_SP100: 0.923354
stock_58_SP100 <-> stock_68_SP100: 0.923285
stock_99_SP100 <-> stock_69_SP100: 0.923268
stock_18_SP100 <-> stock_74_SP100: 0.923221
stock_11_SP100 <-> stock_37_HSI: 0.923200
stock_18_SP100 <-> stock_33_SP100: 0.923141
stock_13_HSI <-> stock_14_HSI: 0.923121
stock_16_SP100 <-> stock_2_SP100: 0.923088
stock_21_SP100 <-> stock_57_SP100: 0.922987
stock_9_SP100 <-> stock_66_SP100: 0.922966
stock_17_SP100 <-> stock_80_SP100: 0.922942
stock_18_HSI <-> stock_64_HSI: 0.922939
stock_1_SP100 <-> stock_38_SP100: 0.922906
stock_53_SP100 <-> stock_2_SP100: 0.922777
stock_46_HSI <-> stock_68_HSI: 0.922756
stock_24_HSI <-> stock_29_HSI: 0.922733
stock_83_SP100 <-> stock_38_HSI: 0.922692
stock_14_SP100 <-> stock_38_HSI: 0.922541
stock_55_HSI <-> stock_77_HSI: 0.922528
stock_19_SP100 <-> stock_32_HSI: 0.922481
stock_18_HSI <-> stock_62_HSI: 0.922424
stock_44_SP100 <-> stock_63_SP100: 0.922404
stock_31_SP100 <-> stock_95_SP100: 0.922166
stock_13_SP100 <-> stock_70_SP100: 0.922074
stock_63_SP100 <-> stock_54_HSI: 0.922041
stock_95_SP100 <-> stock_71_SP100: 0.921980
stock_25_SP100 <-> stock_45_SP100: 0.921865
stock_18_SP100 <-> stock_56_SP100: 0.921852
stock_65_HSI <-> stock_21_HSI: 0.921725
stock_15_SP100 <-> stock_63_SP100: 0.921617
stock_13_SP100 <-> stock_62_SP100: 0.921526
stock_67_SP100 <-> stock_2_SP100: 0.921291
stock_42_SP100 <-> stock_37_SP100: 0.921279
stock_33_SP100 <-> stock_7_SP100: 0.921276
stock_83_HSI <-> stock_66_HSI: 0.921222
stock_88_SP100 <-> stock_10_HSI: 0.921167
stock_46_HSI <-> stock_64_HSI: 0.921124
stock_42_HSI <-> stock_10_HSI: 0.920935
stock_82_SP100 <-> stock_67_SP100: 0.920926
stock_67_HSI <-> stock_63_HSI: 0.920854
stock_35_HSI <-> stock_70_HSI: 0.920810
stock_46_SP100 <-> stock_36_SP100: 0.920807
stock_47_SP100 <-> stock_2_SP100: 0.920751
stock_41_HSI <-> stock_53_HSI: 0.920718
stock_56_SP100 <-> stock_7_SP100: 0.920707
stock_14_SP100 <-> stock_71_HSI: 0.920621
stock_14_SP100 <-> stock_69_HSI: 0.920593
stock_54_SP100 <-> stock_46_SP100: 0.920435
stock_86_SP100 <-> stock_15_HSI: 0.920430
stock_21_SP100 <-> stock_99_SP100: 0.920411
stock_50_HSI <-> stock_68_HSI: 0.920378
stock_28_HSI <-> stock_25_HSI: 0.920240
stock_80_HSI <-> stock_47_HSI: 0.920179
stock_84_SP100 <-> stock_43_HSI: 0.920162
stock_30_SP100 <-> stock_27_HSI: 0.920153
stock_23_SP100 <-> stock_79_SP100: 0.920040
stock_50_SP100 <-> stock_45_SP100: 0.920019
stock_23_HSI <-> stock_38_HSI: 0.920002
stock_52_SP100 <-> stock_79_SP100: 0.920000
stock_23_SP100 <-> stock_5_HSI: 0.919847
stock_47_SP100 <-> stock_39_SP100: 0.919815
stock_67_SP100 <-> stock_10_SP100: 0.919776
stock_65_HSI <-> stock_71_HSI: 0.919702
stock_19_SP100 <-> stock_71_SP100: 0.919645
stock_15_HSI <-> stock_12_HSI: 0.919611
stock_16_SP100 <-> stock_74_SP100: 0.919555
stock_29_HSI <-> stock_71_HSI: 0.919547
stock_45_SP100 <-> stock_55_SP100: 0.919419
stock_16_SP100 <-> stock_10_SP100: 0.919398
stock_98_SP100 <-> stock_49_SP100: 0.919217
stock_77_HSI <-> stock_22_HSI: 0.919198
stock_70_SP100 <-> stock_42_HSI: 0.919146
stock_41_SP100 <-> stock_28_SP100: 0.918880
stock_44_SP100 <-> stock_33_SP100: 0.918852
stock_62_SP100 <-> stock_92_SP100: 0.918811
stock_70_SP100 <-> stock_60_HSI: 0.918794
stock_80_SP100 <-> stock_54_HSI: 0.918758
stock_27_SP100 <-> stock_74_SP100: 0.918730
stock_45_HSI <-> stock_55_HSI: 0.918613
stock_24_HSI <-> stock_80_HSI: 0.918512
stock_18_SP100 <-> stock_11_SP100: 0.918433
stock_20_SP100 <-> stock_17_SP100: 0.918400
stock_52_SP100 <-> stock_72_SP100: 0.918395
stock_39_SP100 <-> stock_64_SP100: 0.918384
stock_99_SP100 <-> stock_80_SP100: 0.918365
stock_65_SP100 <-> stock_49_SP100: 0.918356
stock_35_SP100 <-> stock_92_SP100: 0.918305
stock_18_HSI <-> stock_35_HSI: 0.918293
stock_56_HSI <-> stock_14_SP100: 0.918228
stock_45_HSI <-> stock_68_HSI: 0.918215
stock_26_HSI <-> stock_21_HSI: 0.918134
stock_18_HSI <-> stock_80_HSI: 0.918094
stock_70_SP100 <-> stock_37_HSI: 0.918035
stock_21_SP100 <-> stock_87_SP100: 0.918003
stock_50_HSI <-> stock_66_HSI: 0.917974
stock_56_HSI <-> stock_77_HSI: 0.917950
stock_20_SP100 <-> stock_69_SP100: 0.917880
stock_28_HSI <-> stock_46_HSI: 0.917489
stock_81_SP100 <-> stock_48_HSI: 0.917398
stock_46_HSI <-> stock_69_HSI: 0.917367
stock_69_SP100 <-> stock_54_HSI: 0.917328
stock_6_HSI <-> stock_80_HSI: 0.917325
stock_51_HSI <-> stock_25_HSI: 0.917312
stock_69_SP100 <-> stock_39_SP100: 0.917225
stock_53_HSI <-> stock_80_HSI: 0.917217
stock_19_HSI <-> stock_82_HSI: 0.917216
stock_62_HSI <-> stock_69_HSI: 0.917151
stock_27_SP100 <-> stock_41_SP100: 0.917092
stock_65_HSI <-> stock_22_SP100: 0.917024
stock_2_SP100 <-> stock_92_SP100: 0.916939
stock_38_SP100 <-> stock_3_SP100: 0.916894
stock_35_SP100 <-> stock_5_HSI: 0.916889
stock_13_SP100 <-> stock_72_SP100: 0.916853
stock_63_HSI <-> stock_70_HSI: 0.916851
stock_4_HSI <-> stock_26_HSI: 0.916642
stock_90_SP100 <-> stock_17_SP100: 0.916561
stock_50_SP100 <-> stock_17_HSI: 0.916553
stock_62_SP100 <-> stock_53_SP100: 0.916437
stock_65_HSI <-> stock_75_HSI: 0.916357
stock_28_HSI <-> stock_23_HSI: 0.916346
stock_20_HSI <-> stock_27_HSI: 0.916224
stock_41_HSI <-> stock_20_HSI: 0.916216
stock_53_HSI <-> stock_79_HSI: 0.916212
stock_43_HSI <-> stock_36_HSI: 0.916147
stock_78_SP100 <-> stock_78_HSI: 0.916140
stock_56_HSI <-> stock_68_HSI: 0.916102
stock_27_SP100 <-> stock_15_HSI: 0.916061
stock_45_HSI <-> stock_26_HSI: 0.915883
stock_73_SP100 <-> stock_12_SP100: 0.915812
stock_33_HSI <-> stock_95_SP100: 0.915682
stock_23_SP100 <-> stock_57_SP100: 0.915641
stock_56_HSI <-> stock_61_HSI: 0.915525
stock_40_SP100 <-> stock_31_SP100: 0.915441
stock_46_HSI <-> stock_66_HSI: 0.915425
stock_85_SP100 <-> stock_7_SP100: 0.915403
stock_87_SP100 <-> stock_17_SP100: 0.915343
stock_79_HSI <-> stock_66_HSI: 0.915189
stock_18_HSI <-> stock_79_HSI: 0.915178
stock_27_HSI <-> stock_67_HSI: 0.915090
stock_15_SP100 <-> stock_64_SP100: 0.914923
stock_72_SP100 <-> stock_48_HSI: 0.914866
stock_4_HSI <-> stock_65_HSI: 0.914791
stock_70_SP100 <-> stock_48_HSI: 0.914623
stock_45_HSI <-> stock_38_HSI: 0.914528
stock_16_SP100 <-> stock_11_SP100: 0.914444
stock_79_SP100 <-> stock_33_SP100: 0.914284
stock_83_HSI <-> stock_48_SP100: 0.914255
stock_6_SP100 <-> stock_69_HSI: 0.914252
stock_26_HSI <-> stock_66_HSI: 0.914188
stock_80_HSI <-> stock_71_SP100: 0.914046
stock_24_HSI <-> stock_61_HSI: 0.913941
stock_25_SP100 <-> stock_69_SP100: 0.913868
stock_59_HSI <-> stock_88_SP100: 0.913828
stock_45_HSI <-> stock_53_HSI: 0.913631
stock_1_SP100 <-> stock_69_SP100: 0.913596
stock_67_SP100 <-> stock_63_SP100: 0.913566
stock_49_HSI <-> stock_101_SP100: 0.913545
stock_69_SP100 <-> stock_33_SP100: 0.913504
stock_52_SP100 <-> stock_7_SP100: 0.913468
stock_56_SP100 <-> stock_5_HSI: 0.913438
stock_70_SP100 <-> stock_16_HSI: 0.913350
stock_90_SP100 <-> stock_79_SP100: 0.913268
stock_20_HSI <-> stock_19_SP100: 0.913219
stock_25_SP100 <-> stock_17_SP100: 0.913177
stock_65_HSI <-> stock_22_HSI: 0.913065
stock_48_SP100 <-> stock_38_HSI: 0.912928
stock_101_SP100 <-> stock_14_HSI: 0.912884
stock_72_SP100 <-> stock_28_SP100: 0.912509
stock_40_HSI <-> stock_18_HSI: 0.912475
stock_95_SP100 <-> stock_6_SP100: 0.912438
stock_86_SP100 <-> stock_80_SP100: 0.912423
stock_15_HSI <-> stock_37_HSI: 0.912322
stock_23_SP100 <-> stock_2_SP100: 0.912268
stock_56_HSI <-> stock_21_HSI: 0.912231
stock_87_SP100 <-> stock_10_SP100: 0.912005
stock_45_HSI <-> stock_77_HSI: 0.911916
stock_24_HSI <-> stock_6_HSI: 0.911914
stock_21_SP100 <-> stock_20_SP100: 0.911850
stock_87_SP100 <-> stock_68_SP100: 0.911820
stock_95_SP100 <-> stock_29_HSI: 0.911805
stock_97_SP100 <-> stock_68_SP100: 0.911730
stock_14_SP100 <-> stock_67_HSI: 0.911715
stock_73_HSI <-> stock_72_HSI: 0.911702
stock_24_HSI <-> stock_95_SP100: 0.911567
stock_97_SP100 <-> stock_46_SP100: 0.911533
stock_90_SP100 <-> stock_38_SP100: 0.911376
stock_16_SP100 <-> stock_35_SP100: 0.911319
stock_66_SP100 <-> stock_76_SP100: 0.911272
stock_61_HSI <-> stock_66_HSI: 0.911200
stock_31_HSI <-> stock_26_SP100: 0.911075
stock_70_SP100 <-> stock_57_SP100: 0.911033
stock_27_HSI <-> stock_71_SP100: 0.910960
stock_6_SP100 <-> stock_71_SP100: 0.910864
stock_30_HSI <-> stock_68_HSI: 0.910754
stock_23_HSI <-> stock_64_HSI: 0.910730
stock_74_HSI <-> stock_10_HSI: 0.910592
stock_90_SP100 <-> stock_21_SP100: 0.910583
stock_47_SP100 <-> stock_1_SP100: 0.910580
stock_20_SP100 <-> stock_80_SP100: 0.910557
stock_99_SP100 <-> stock_48_HSI: 0.910533
stock_60_HSI <-> stock_64_SP100: 0.910067
stock_56_HSI <-> stock_62_HSI: 0.910047
stock_35_SP100 <-> stock_57_SP100: 0.909955
stock_25_SP100 <-> stock_21_SP100: 0.909792
stock_62_SP100 <-> stock_10_SP100: 0.909770
stock_56_SP100 <-> stock_10_SP100: 0.909760
stock_84_SP100 <-> stock_16_HSI: 0.909720
stock_7_SP100 <-> stock_92_SP100: 0.909632
stock_11_HSI <-> stock_51_HSI: 0.909611
stock_54_SP100 <-> stock_59_SP100: 0.909549
stock_50_SP100 <-> stock_96_SP100: 0.909187
stock_1_SP100 <-> stock_98_SP100: 0.909145
stock_90_SP100 <-> stock_10_SP100: 0.909142
stock_64_HSI <-> stock_26_HSI: 0.909028
stock_62_SP100 <-> stock_55_SP100: 0.908994
stock_91_SP100 <-> stock_64_HSI: 0.908901
stock_81_HSI <-> stock_28_SP100: 0.908828
stock_35_HSI <-> stock_71_HSI: 0.908796
stock_3_HSI <-> stock_30_SP100: 0.908644
stock_48_SP100 <-> stock_79_HSI: 0.908495
stock_59_HSI <-> stock_73_HSI: 0.908333
stock_46_HSI <-> stock_65_HSI: 0.908303
stock_74_SP100 <-> stock_57_SP100: 0.908204
stock_27_HSI <-> stock_22_HSI: 0.908196
stock_24_HSI <-> stock_22_HSI: 0.907930
stock_16_SP100 <-> stock_56_SP100: 0.907814
stock_33_HSI <-> stock_32_HSI: 0.907798
stock_78_HSI <-> stock_88_SP100: 0.907531
stock_37_HSI <-> stock_43_HSI: 0.907531
stock_56_SP100 <-> stock_4_SP100: 0.907530
stock_55_HSI <-> stock_75_HSI: 0.907371
stock_18_HSI <-> stock_22_SP100: 0.907308
stock_18_HSI <-> stock_14_SP100: 0.907247
stock_6_HSI <-> stock_21_HSI: 0.907238
stock_7_SP100 <-> stock_59_SP100: 0.907228
stock_44_SP100 <-> stock_17_HSI: 0.907185
stock_70_SP100 <-> stock_81_HSI: 0.907112
stock_23_SP100 <-> stock_10_SP100: 0.907067
stock_36_HSI <-> stock_76_HSI: 0.906990
stock_91_SP100 <-> stock_46_HSI: 0.906932
stock_76_SP100 <-> stock_6_SP100: 0.906918
stock_83_HSI <-> stock_71_SP100: 0.906888
stock_91_SP100 <-> stock_100_SP100: 0.906878
stock_1_SP100 <-> stock_89_SP100: 0.906789
stock_64_HSI <-> stock_71_HSI: 0.906782
stock_6_SP100 <-> stock_68_HSI: 0.906746
stock_16_SP100 <-> stock_85_SP100: 0.906745
stock_70_SP100 <-> stock_88_SP100: 0.906716
stock_24_HSI <-> stock_76_SP100: 0.906661
stock_86_SP100 <-> stock_63_SP100: 0.906577
stock_62_HSI <-> stock_30_HSI: 0.906497
stock_41_SP100 <-> stock_11_SP100: 0.906441
stock_28_SP100 <-> stock_48_HSI: 0.906157
stock_50_SP100 <-> stock_39_SP100: 0.906132
stock_78_SP100 <-> stock_88_SP100: 0.906022
stock_1_HSI <-> stock_49_HSI: 0.905936
stock_62_SP100 <-> stock_15_HSI: 0.905882
stock_6_HSI <-> stock_22_HSI: 0.905866
stock_30_SP100 <-> stock_63_HSI: 0.905857
stock_62_HSI <-> stock_22_HSI: 0.905770
stock_81_HSI <-> stock_88_SP100: 0.905591
stock_50_HSI <-> stock_38_HSI: 0.905575
stock_70_SP100 <-> stock_43_HSI: 0.905454
stock_41_SP100 <-> stock_15_SP100: 0.905350
stock_60_HSI <-> stock_28_SP100: 0.905332
stock_18_HSI <-> stock_32_HSI: 0.905308
stock_83_SP100 <-> stock_79_HSI: 0.905302
stock_24_SP100 <-> stock_27_HSI: 0.905301
stock_60_HSI <-> stock_88_SP100: 0.905201
stock_23_HSI <-> stock_67_HSI: 0.905198
stock_63_SP100 <-> stock_81_SP100: 0.905192
stock_87_SP100 <-> stock_98_SP100: 0.905104
stock_47_SP100 <-> stock_80_SP100: 0.905090
stock_69_SP100 <-> stock_64_SP100: 0.905070
stock_24_HSI <-> stock_67_HSI: 0.905006
stock_96_SP100 <-> stock_88_SP100: 0.904904
stock_56_HSI <-> stock_69_HSI: 0.904639
stock_15_HSI <-> stock_11_SP100: 0.904588
stock_1_SP100 <-> stock_17_SP100: 0.904570
stock_23_SP100 <-> stock_4_SP100: 0.904493
stock_55_HSI <-> stock_50_HSI: 0.904454
stock_19_SP100 <-> stock_22_HSI: 0.904345
stock_82_SP100 <-> stock_5_HSI: 0.904287
stock_57_SP100 <-> stock_2_SP100: 0.904163
stock_98_SP100 <-> stock_36_SP100: 0.904104
stock_18_HSI <-> stock_29_HSI: 0.904067
stock_79_SP100 <-> stock_59_SP100: 0.904066
stock_35_HSI <-> stock_68_HSI: 0.903922
stock_18_HSI <-> stock_67_HSI: 0.903866
stock_27_SP100 <-> stock_54_SP100: 0.903851
stock_71_SP100 <-> stock_79_HSI: 0.903815
stock_18_HSI <-> stock_65_HSI: 0.903792
stock_23_SP100 <-> stock_7_SP100: 0.903748
stock_52_SP100 <-> stock_74_SP100: 0.903722
stock_27_HSI <-> stock_83_HSI: 0.903514
stock_62_HSI <-> stock_50_HSI: 0.903492
stock_59_HSI <-> stock_48_HSI: 0.903470
stock_41_SP100 <-> stock_57_SP100: 0.903378
stock_13_SP100 <-> stock_48_HSI: 0.903359
stock_45_HSI <-> stock_24_HSI: 0.903316
stock_86_SP100 <-> stock_96_SP100: 0.903240
stock_55_HSI <-> stock_6_HSI: 0.903148
stock_77_SP100 <-> stock_75_SP100: 0.902985
stock_28_HSI <-> stock_75_HSI: 0.902975
stock_29_HSI <-> stock_68_HSI: 0.902957
stock_20_HSI <-> stock_24_HSI: 0.902920
stock_57_SP100 <-> stock_84_SP100: 0.902753
stock_14_SP100 <-> stock_68_HSI: 0.902703
stock_56_SP100 <-> stock_68_SP100: 0.902424
stock_59_SP100 <-> stock_2_HSI: 0.902383
stock_63_SP100 <-> stock_28_SP100: 0.902091
stock_86_SP100 <-> stock_56_SP100: 0.901990
stock_33_SP100 <-> stock_11_SP100: 0.901962
stock_80_SP100 <-> stock_11_SP100: 0.901925
stock_2_HSI <-> stock_49_SP100: 0.901816
stock_64_SP100 <-> stock_54_HSI: 0.901805
stock_1_SP100 <-> stock_21_SP100: 0.901768
stock_50_SP100 <-> stock_54_HSI: 0.901666
stock_1_SP100 <-> stock_68_SP100: 0.901620
stock_18_SP100 <-> stock_23_SP100: 0.901608
stock_44_SP100 <-> stock_54_HSI: 0.901561
stock_75_HSI <-> stock_67_HSI: 0.901535
stock_55_HSI <-> stock_35_HSI: 0.901408
stock_34_HSI <-> stock_48_HSI: 0.901107
stock_90_SP100 <-> stock_15_HSI: 0.900985
stock_70_SP100 <-> stock_10_SP100: 0.900976
stock_52_SP100 <-> stock_33_SP100: 0.900835
stock_4_HSI <-> stock_6_HSI: 0.900787
stock_48_SP100 <-> stock_47_HSI: 0.900725
stock_44_SP100 <-> stock_85_SP100: 0.900712
stock_16_SP100 <-> stock_33_SP100: 0.900564
stock_80_HSI <-> stock_48_SP100: 0.900561
stock_85_SP100 <-> stock_17_HSI: 0.900556
stock_18_HSI <-> stock_30_HSI: 0.900519
stock_55_SP100 <-> stock_81_SP100: 0.900494
stock_30_HSI <-> stock_71_HSI: 0.900410
stock_20_SP100 <-> stock_48_HSI: 0.900326
stock_80_HSI <-> stock_66_HSI: 0.900281

Low similarity groups (3804 pairs)
----------------------------------------
stock_99_SP100 <-> stock_80_HSI: -0.995961
stock_55_SP100 <-> stock_67_HSI: -0.994973
stock_67_SP100 <-> stock_67_HSI: -0.994778
stock_55_SP100 <-> stock_32_HSI: -0.994598
stock_69_SP100 <-> stock_62_HSI: -0.994037
stock_25_SP100 <-> stock_22_SP100: -0.994001
stock_17_SP100 <-> stock_65_HSI: -0.993953
stock_20_SP100 <-> stock_80_HSI: -0.993502
stock_33_SP100 <-> stock_18_HSI: -0.993422
stock_99_SP100 <-> stock_83_HSI: -0.992550
stock_20_SP100 <-> stock_83_HSI: -0.992414
stock_47_SP100 <-> stock_65_HSI: -0.992345
stock_20_SP100 <-> stock_29_HSI: -0.992189
stock_67_SP100 <-> stock_32_HSI: -0.992037
stock_15_SP100 <-> stock_29_HSI: -0.991572
stock_99_SP100 <-> stock_22_SP100: -0.991281
stock_99_SP100 <-> stock_29_HSI: -0.990887
stock_25_SP100 <-> stock_29_HSI: -0.990864
stock_11_SP100 <-> stock_83_HSI: -0.990174
stock_25_SP100 <-> stock_80_HSI: -0.990149
stock_21_SP100 <-> stock_83_SP100: -0.990114
stock_50_SP100 <-> stock_22_SP100: -0.990040
stock_20_SP100 <-> stock_22_SP100: -0.989934
stock_11_SP100 <-> stock_29_HSI: -0.989779
stock_67_SP100 <-> stock_65_HSI: -0.989658
stock_47_SP100 <-> stock_67_HSI: -0.988616
stock_15_SP100 <-> stock_83_HSI: -0.988326
stock_2_SP100 <-> stock_23_HSI: -0.988227
stock_21_SP100 <-> stock_65_HSI: -0.988017
stock_17_SP100 <-> stock_67_HSI: -0.987920
stock_44_SP100 <-> stock_80_HSI: -0.987337
stock_13_SP100 <-> stock_32_HSI: -0.987281
stock_2_SP100 <-> stock_26_HSI: -0.987149
stock_13_SP100 <-> stock_67_HSI: -0.987089
stock_50_SP100 <-> stock_80_HSI: -0.985976
stock_21_SP100 <-> stock_6_HSI: -0.985948
stock_52_SP100 <-> stock_83_SP100: -0.985920
stock_50_SP100 <-> stock_22_HSI: -0.985878
stock_17_SP100 <-> stock_83_SP100: -0.985827
stock_15_SP100 <-> stock_80_HSI: -0.985715
stock_13_SP100 <-> stock_80_HSI: -0.985693
stock_50_SP100 <-> stock_79_HSI: -0.985561
stock_41_SP100 <-> stock_67_HSI: -0.985330
stock_74_SP100 <-> stock_32_HSI: -0.985134
stock_11_SP100 <-> stock_22_SP100: -0.985027
stock_21_SP100 <-> stock_67_HSI: -0.984645
stock_41_SP100 <-> stock_32_HSI: -0.984571
stock_18_SP100 <-> stock_65_HSI: -0.984564
stock_44_SP100 <-> stock_32_HSI: -0.984106
stock_57_SP100 <-> stock_83_HSI: -0.984011
stock_17_HSI <-> stock_48_SP100: -0.983870
stock_11_SP100 <-> stock_63_HSI: -0.983684
stock_58_SP100 <-> stock_55_HSI: -0.983679
stock_70_SP100 <-> stock_29_HSI: -0.983603
stock_11_SP100 <-> stock_80_HSI: -0.983561
stock_89_SP100 <-> stock_64_HSI: -0.983536
stock_86_SP100 <-> stock_80_HSI: -0.983511
stock_74_SP100 <-> stock_79_HSI: -0.983422
stock_52_SP100 <-> stock_62_HSI: -0.982922
stock_25_SP100 <-> stock_83_HSI: -0.982331
stock_15_SP100 <-> stock_22_SP100: -0.982292
stock_69_SP100 <-> stock_68_HSI: -0.982208
stock_44_SP100 <-> stock_67_HSI: -0.982168
stock_69_SP100 <-> stock_77_HSI: -0.982044
stock_25_SP100 <-> stock_22_HSI: -0.981826
stock_4_SP100 <-> stock_28_HSI: -0.981301
stock_69_SP100 <-> stock_6_HSI: -0.980822
stock_47_SP100 <-> stock_32_HSI: -0.980602
stock_52_SP100 <-> stock_26_HSI: -0.980597
stock_96_SP100 <-> stock_71_SP100: -0.980303
stock_44_SP100 <-> stock_38_HSI: -0.980219
stock_11_SP100 <-> stock_22_HSI: -0.979944
stock_70_SP100 <-> stock_71_SP100: -0.979878
stock_44_SP100 <-> stock_79_HSI: -0.979619
stock_86_SP100 <-> stock_83_HSI: -0.979459
stock_13_SP100 <-> stock_56_HSI: -0.979425
stock_25_SP100 <-> stock_61_HSI: -0.979284
stock_67_SP100 <-> stock_56_HSI: -0.979040
stock_21_SP100 <-> stock_62_HSI: -0.978875
stock_10_SP100 <-> stock_83_HSI: -0.978858
stock_21_SP100 <-> stock_32_HSI: -0.978780
stock_99_SP100 <-> stock_22_HSI: -0.978702
stock_50_SP100 <-> stock_29_HSI: -0.978654
stock_87_SP100 <-> stock_75_HSI: -0.978620
stock_69_SP100 <-> stock_26_HSI: -0.978613
stock_67_SP100 <-> stock_38_HSI: -0.978608
stock_47_SP100 <-> stock_56_HSI: -0.978602
stock_17_SP100 <-> stock_77_HSI: -0.978542
stock_69_SP100 <-> stock_83_SP100: -0.978425
stock_69_SP100 <-> stock_38_HSI: -0.978379
stock_52_SP100 <-> stock_65_HSI: -0.978346
stock_20_SP100 <-> stock_22_HSI: -0.978316
stock_55_SP100 <-> stock_79_HSI: -0.978226
stock_13_SP100 <-> stock_79_HSI: -0.978207
stock_2_SP100 <-> stock_75_HSI: -0.978151
stock_25_SP100 <-> stock_6_SP100: -0.978051
stock_2_SP100 <-> stock_30_HSI: -0.977914
stock_62_SP100 <-> stock_26_HSI: -0.977735
stock_99_SP100 <-> stock_6_SP100: -0.977662
stock_17_SP100 <-> stock_32_HSI: -0.977490
stock_57_SP100 <-> stock_80_HSI: -0.977181
stock_44_SP100 <-> stock_83_HSI: -0.977020
stock_50_SP100 <-> stock_32_HSI: -0.976942
stock_10_SP100 <-> stock_46_HSI: -0.976789
stock_86_SP100 <-> stock_38_HSI: -0.976686
stock_50_SP100 <-> stock_61_HSI: -0.976589
stock_69_SP100 <-> stock_65_HSI: -0.976454
stock_50_SP100 <-> stock_6_SP100: -0.976267
stock_55_SP100 <-> stock_65_HSI: -0.976177
stock_7_SP100 <-> stock_30_HSI: -0.976014
stock_69_SP100 <-> stock_67_HSI: -0.975871
stock_21_SP100 <-> stock_77_HSI: -0.975671
stock_25_SP100 <-> stock_79_HSI: -0.975609
stock_86_SP100 <-> stock_22_SP100: -0.975501
stock_33_SP100 <-> stock_75_HSI: -0.975414
stock_86_SP100 <-> stock_22_HSI: -0.975347
stock_13_SP100 <-> stock_6_SP100: -0.975342
stock_44_SP100 <-> stock_22_SP100: -0.975238
stock_52_SP100 <-> stock_77_HSI: -0.975227
stock_17_SP100 <-> stock_6_HSI: -0.975147
stock_74_SP100 <-> stock_67_HSI: -0.975097
stock_70_SP100 <-> stock_22_SP100: -0.975071
stock_69_SP100 <-> stock_32_HSI: -0.974916
