run,raw_train,raw_val,raw_test,pred_val_rows,pred_test_rows,final_nav
test1,"(0, 50)","(50, 100)","(100, 150)",50,50,113202.56213711991
test2,"(50, 100)","(100, 150)","(150, 200)",50,50,103294.63938571209
test3,"(100, 150)","(150, 200)","(200, 248)",50,29,122146.59197646216
