Stock,Daily mean,Annualized rate of return,Annualized volatility,Sharpe ratio,Cumulative return,Max drawdown,Win rate,Composite score
stock_16_SP100,0.0025120846774193523,0.6330453387096768,0.17481204501431982,3.6212913055151352,0.8355217429728847,-0.06528868664450377,0.6169354838709677,0.9733695652173912
stock_13_SP100,0.0027289677419354828,0.6876998709677417,0.2279163035962624,3.017335136261043,0.9165704624934996,-0.10717633173529928,0.592741935483871,0.9519021739130434
stock_44_SP100,0.002401334677419357,0.605136338709678,0.22997639013166427,2.631297666526682,0.7664813442175282,-0.09824613363045696,0.5725806451612904,0.9279891304347825
stock_90_SP100,0.0018887943548387086,0.47597617741935455,0.13668601612604384,3.4822594944931105,0.582261715174714,-0.05406008369774971,0.592741935483871,0.9277173913043478
stock_50_SP100,0.0026966733870967745,0.6795616935483871,0.27925771516851305,2.433457185375587,0.8787634014550953,-0.08549828906713702,0.5604838709677419,0.921195652173913
stock_18_SP100,0.0020827741935483843,0.5248590967741928,0.19551507458815606,2.684494266643048,0.6444154620472049,-0.11253403665574827,0.592741935483871,0.9105978260869565
stock_52_SP100,0.001966830645161294,0.4956413225806461,0.19885318375448188,2.4924988035021842,0.5964373783345531,-0.10130447656882104,0.6169354838709677,0.9
stock_27_SP100,0.002004439516129035,0.5051187580645169,0.19714988071677128,2.5621053192021894,0.611980703126006,-0.10273849811206458,0.5725806451612904,0.8942934782608697
stock_82_SP100,0.0019712903225806433,0.4967651612903221,0.17250633708494043,2.879692246005547,0.6065366470584332,-0.08198062896953084,0.5403225806451613,0.8932065217391304
stock_86_SP100,0.0021710161290322584,0.5470960645161291,0.22802921878733012,2.3992366742543396,0.6695195901190154,-0.10422356749222722,0.5524193548387096,0.8858695652173912
stock_47_SP100,0.002198229838709679,0.5539539193548391,0.2160654027451959,2.5638251766207674,0.6851663165680337,-0.16862119166233497,0.5887096774193549,0.8801630434782609
stock_67_SP100,0.0022405604838709693,0.5646212419354842,0.2448695613450337,2.305804113970311,0.691726638785972,-0.13921229818914013,0.5887096774193549,0.877445652173913
stock_25_SP100,0.0024800040322580613,0.6249610161290314,0.272832528629369,2.290639680204751,0.78285043916658,-0.13681485146688693,0.5443548387096774,0.8630434782608697
stock_1_SP100,0.0014134193548387063,0.35618167741935397,0.13479000197646696,2.6424933021481807,0.4068831948930658,-0.09860174756056357,0.6048387096774194,0.8597826086956522
stock_70_SP100,0.0026488669354838737,0.6675144677419361,0.297893757500616,2.2407803149099417,0.8463474798752859,-0.1344577463924254,0.5161290322580645,0.8432065217391304
stock_41_SP100,0.002384354838709674,0.6008574193548379,0.3114132692568304,1.929453490497528,0.7219724482305796,-0.1993985612095671,0.5887096774193549,0.821195652173913
stock_15_SP100,0.002159528225806452,0.5442011129032259,0.2368166665696116,2.2979848537951595,0.6615665907913277,-0.1694990458771569,0.532258064516129,0.8182065217391303
stock_21_SP100,0.0019781209677419385,0.4984864838709685,0.26227162960735323,1.90064966087736,0.5782708328844526,-0.16478084315624986,0.592741935483871,0.8149456521739131
stock_56_SP100,0.0013637177419354857,0.3436568709677424,0.1460074787277179,2.3536936187262776,0.3876356305382458,-0.09713278610796126,0.5483870967741935,0.814945652173913
stock_63_SP100,0.002725810483870964,0.6869042419354829,0.3642577114957582,1.885764447140557,0.8444104806505697,-0.18426440902464886,0.5524193548387096,0.8133152173913044
stock_74_SP100,0.002338504032258068,0.5893030161290331,0.3316843105563036,1.776698497256772,0.692737508653892,-0.14382007572794914,0.5685483870967742,0.8127717391304348
stock_62_SP100,0.0015500725806451632,0.39061829032258116,0.19509888065368014,2.0021554660580927,0.4409679840032281,-0.1156799956145503,0.5725806451612904,0.8078804347826087
stock_35_SP100,0.001337858870967741,0.33714043548387074,0.15902607445896072,2.1200324326113913,0.3760282691525698,-0.08793708544231905,0.5604838709677419,0.8051630434782608
stock_23_SP100,0.0013383870967741917,0.3372735483870963,0.14440513266735894,2.335606374629459,0.37919276145528813,-0.09377407742026307,0.5403225806451613,0.8027173913043478
stock_99_SP100,0.0021267580645161284,0.5359430322580644,0.26039029092546956,2.058229707233843,0.6384886036182778,-0.17276220280507903,0.5403225806451613,0.802445652173913
stock_85_SP100,0.0014234959677419318,0.35872098387096685,0.16981458438216246,2.112427417092023,0.40316854984434847,-0.09345907327813174,0.5403225806451613,0.8008152173913042
stock_20_SP100,0.002064560483870966,0.5202692419354834,0.25758012876178293,2.0198345440561623,0.6144494814391839,-0.1700930977303308,0.5362903225806451,0.7956521739130435
stock_69_SP100,0.0018539032258064506,0.4671836129032256,0.26128028620923893,1.788055347310416,0.5308454296020302,-0.12646948487572643,0.5806451612903226,0.7907608695652173
stock_87_SP100,0.0014540322580645136,0.36641612903225745,0.19678530228326624,1.8620096357847549,0.4069507824965042,-0.10809325556525556,0.5604838709677419,0.7793478260869566
stock_72_SP100,0.0022733629032258085,0.5728874516129038,0.3343494915826739,1.713438979377802,0.662635796000375,-0.20868969530881235,0.6129032258064516,0.7779891304347827
stock_53_SP100,0.0009796008064516172,0.24685940322580754,0.1193669348909098,2.068071894879549,0.26599231552744995,-0.05478726308788973,0.5685483870967742,0.7717391304347826
stock_79_SP100,0.001181645161290323,0.2977745806451614,0.16068070087142003,1.8532068819107694,0.32344159815479534,-0.07986747403136253,0.5806451612903226,0.7703804347826088
stock_39_SP100,0.0023834556451612938,0.600630822580646,0.3488746468483471,1.7216235917588336,0.6952221379943067,-0.24233829185590178,0.5967741935483871,0.7703804347826088
stock_45_SP100,0.0016221209677419366,0.40877448387096804,0.2034828550991696,2.008889071621033,0.46482304965514176,-0.17737775232343025,0.5483870967741935,0.7703804347826086
stock_57_SP100,0.0017658790322580625,0.4450015161290317,0.22158977206425345,2.0082222748078666,0.5122462778436039,-0.18275623257419857,0.5403225806451613,0.7684782608695652
stock_58_SP100,0.0012173104838709744,0.30676224193548557,0.163288939465658,1.878646789790695,0.3345211116575735,-0.12082502672208777,0.6048387096774194,0.7649456521739131
stock_17_SP100,0.0018602540322580675,0.46878401612903303,0.25611404805437266,1.8303721318305461,0.5344906586487579,-0.1974854870998322,0.5806451612903226,0.7641304347826088
stock_60_HSI,0.0031545080645161297,0.7949360322580646,0.4235804125388218,1.8767063082389523,1.0023119387572739,-0.2785705590190608,0.532258064516129,0.7633152173913043
stock_38_SP100,0.0011805362903225796,0.29749514516129005,0.15668472338698836,1.8986863475293667,0.32395194526961246,-0.06901480990376806,0.5443548387096774,0.7625
stock_54_SP100,0.0011804072580645123,0.2974626290322571,0.15313133100251258,1.9425327729135742,0.32454151909351947,-0.11638466067738772,0.5524193548387096,0.751358695652174
stock_78_SP100,0.004560173387096773,1.1491636935483867,0.6237411661951605,1.8423726953254007,1.5823352618862065,-0.25117083248326166,0.5080645161290323,0.7445652173913044
stock_55_SP100,0.0019390443548387073,0.48863917741935425,0.29568111007195025,1.6525884162855384,0.5495052963972209,-0.18761357140494403,0.5645161290322581,0.7415760869565218
stock_17_HSI,0.001746165322580646,0.4400336612903228,0.24854682100236186,1.7704256265105933,0.4959038354317986,-0.11683988761804204,0.5080645161290323,0.7410326086956521
stock_96_SP100,0.001959657258064519,0.4938336290322588,0.2760465312039378,1.7889506775487214,0.5660932700672492,-0.15177640260389494,0.4959677419354839,0.7385869565217391
stock_81_HSI,0.0028681532258064513,0.7227746129032258,0.4187961159985857,1.7258388635716637,0.8692952680030677,-0.2949993566583187,0.5282258064516129,0.7315217391304347
stock_33_SP100,0.001441012096774198,0.3631350483870979,0.2269839729475188,1.5998268233284416,0.3939200213832801,-0.10720932920427047,0.5362903225806451,0.726086956521739
stock_59_HSI,0.003159375,0.7961625,0.4501791333043659,1.7685459878072913,0.9822119969869398,-0.3213761740788385,0.5201612903225806,0.7222826086956522
stock_34_HSI,0.0025420483870967764,0.6405961935483877,0.41109338502162895,1.5582741461886667,0.728722158172856,-0.2979314487360576,0.5120967741935484,0.6980978260869565
stock_80_SP100,0.0018568669354838696,0.46793046774193514,0.3491275204626448,1.3402852548600557,0.4922557096969429,-0.15754068517646144,0.5524193548387096,0.6964673913043478
stock_15_HSI,0.0013865846774193567,0.3494193387096779,0.2149056464135756,1.6259197677721187,0.37867824022506347,-0.13958219633532096,0.5201612903225806,0.6902173913043479
stock_42_HSI,0.0023568830645161265,0.5939345322580639,0.3898305573782482,1.5235710003148264,0.6661912259549345,-0.23380004962061776,0.4879032258064516,0.6842391304347827
stock_11_SP100,0.001706225806451615,0.42996890322580694,0.27681148406266926,1.553291420266593,0.4700455764668534,-0.19489839844690166,0.5241935483870968,0.6842391304347826
stock_61_SP100,0.001066911290322579,0.2688616451612899,0.1818399447872872,1.4785620699335285,0.2818232999941557,-0.12771069112829722,0.5685483870967742,0.6820652173913043
stock_5_HSI,0.0013639395161290297,0.3437127580645155,0.2430945096106608,1.4139058862950236,0.3624122750765013,-0.10000078768423834,0.5241935483870968,0.6771739130434782
stock_2_SP100,0.00132746370967742,0.33452085483870986,0.2276542006349624,1.469425356113263,0.3549377063590087,-0.16712938930368204,0.5564516129032258,0.6769021739130435
stock_7_SP100,0.001178870967741939,0.2970754838709686,0.2048735818559232,1.4500429053848736,0.3120125003435319,-0.128880844405018,0.5604838709677419,0.675
stock_64_SP100,0.0018618669354838716,0.4691904677419356,0.3462227770937374,1.3551692689903692,0.4995615289524884,-0.17690965301623543,0.5362903225806451,0.6744565217391304
stock_3_SP100,0.0011025887096774265,0.27785235483871146,0.191343650484614,1.452111706529053,0.29082138215174824,-0.14997443979161137,0.5685483870967742,0.6733695652173912
stock_89_SP100,0.00118622177419355,0.29892788709677465,0.21036483092333103,1.4209974442245104,0.31304406507066407,-0.11272078602764632,0.5403225806451613,0.6730978260869565
stock_98_SP100,0.0010893870967741957,0.2745255483870973,0.20812523799110896,1.319040165608483,0.28249842325117447,-0.09897388550381295,0.5766129032258065,0.6725543478260869
stock_81_SP100,0.002077205645161295,0.5234558225806464,0.3730685859141561,1.4031088179080689,0.5624819552079852,-0.31251993703052616,0.5725806451612904,0.6706521739130435
stock_97_SP100,0.0009143991935483891,0.23042859677419406,0.16076368079882827,1.433337403256778,0.23852874210804265,-0.12614727755635444,0.6048387096774194,0.6679347826086958
